fixture_id,source_snapshot,source_path,content_kind,served_url,sha256,license_provenance,sensitive,used_by,copy_decision,destination_path
127_0_0_1_entity_OBJECT_1_html,f7caa07,migration-sources/dezoomify-web/tests/fixtures/remote/127.0.0.1/entity/OBJECT/1.html,html,127.0.0.1/entity/OBJECT/1.html,ece641401fa83f5e9e9c30e4e225019ca2fbcf5afb23905cb25226b378d53eaa,GPL project test data (web GPL-2.0-or-later; rs GPL-3.0-only),false,phase-02 audit,curate-in-phase-03,testdata/scenarios/<owning-scenario>/payloads/127.0.0.1/entity/OBJECT/1.html
127_0_0_1_fixtures_iiif-default-port_info_json,f7caa07,migration-sources/dezoomify-web/tests/fixtures/remote/127.0.0.1/fixtures/iiif-default-port/info.json,json,127.0.0.1/fixtures/iiif-default-port/info.json,e5ce6bae1cee86bb8b19077e963425d0ff030e52fa6afe1337d955bbf8c79472,GPL project test data (web GPL-2.0-or-later; rs GPL-3.0-only),false,phase-02 audit,curate-in-phase-03,testdata/scenarios/<owning-scenario>/payloads/127.0.0.1/fixtures/iiif-default-port/info.json
127_0_0_1_fixtures_iiif-private-id_info_json,f7caa07,migration-sources/dezoomify-web/tests/fixtures/remote/127.0.0.1/fixtures/iiif-private-id/info.json,json,127.0.0.1/fixtures/iiif-private-id/info.json,dc83e38b7fbcda61d26c701c454777766182405bb3ba0e6b536dc45cdb0ca4af,GPL project test data (web GPL-2.0-or-later; rs GPL-3.0-only),false,phase-02 audit,curate-in-phase-03,testdata/scenarios/<owning-scenario>/payloads/127.0.0.1/fixtures/iiif-private-id/info.json
127_0_0_1_fixtures_iiif-v2_info_json,f7caa07,migration-sources/dezoomify-web/tests/fixtures/remote/127.0.0.1/fixtures/iiif-v2/info.json,json,127.0.0.1/fixtures/iiif-v2/info.json,ec1bb372634ac6676b0a5f704fc43d138ac7a25dcf3082f6e2632de0a8ca00d1,GPL project test data (web GPL-2.0-or-later; rs GPL-3.0-only),false,phase-02 audit,curate-in-phase-03,testdata/scenarios/<owning-scenario>/payloads/127.0.0.1/fixtures/iiif-v2/info.json
127_0_0_1_fixtures_pnav_image_json,f7caa07,migration-sources/dezoomify-web/tests/fixtures/remote/127.0.0.1/fixtures/pnav/image.json,json,127.0.0.1/fixtures/pnav/image.json,7118a8282f90e96c741a64eea9ee6cae149152f0a879ac30174a68a2e43f6713,GPL project test data (web GPL-2.0-or-later; rs GPL-3.0-only),false,phase-02 audit,curate-in-phase-03,testdata/scenarios/<owning-scenario>/payloads/127.0.0.1/fixtures/pnav/image.json
api_onb_ac_at_iiif_image_v3_10048A37_uk4nGb4kQHe3msbC_info_json,f7caa07,migration-sources/dezoomify-web/tests/fixtures/remote/api.onb.ac.at/iiif/image/v3/10048A37/uk4nGb4kQHe3msbC/info.json,json,api.onb.ac.at/iiif/image/v3/10048A37/uk4nGb4kQHe3msbC/info.json,ccb53639d05b8d4dd2a97ea408ab97f51c1848b0cbbb7605679e25220041a0d9,GPL project test data (web GPL-2.0-or-later; rs GPL-3.0-only),false,phase-02 audit,curate-in-phase-03,testdata/scenarios/<owning-scenario>/payloads/api.onb.ac.at/iiif/image/v3/10048A37/uk4nGb4kQHe3msbC/info.json
api_onb_ac_at_iiif_presentation_v3_manifest_10048A37_json,f7caa07,migration-sources/dezoomify-web/tests/fixtures/remote/api.onb.ac.at/iiif/presentation/v3/manifest/10048A37.json,json,api.onb.ac.at/iiif/presentation/v3/manifest/10048A37.json,e92afc528b27b3db5994e41a1b7d7f8d07c7ee1215bde6a4d43fae47618abb50,GPL project test data (web GPL-2.0-or-later; rs GPL-3.0-only),false,phase-02 audit,curate-in-phase-03,testdata/scenarios/<owning-scenario>/payloads/api.onb.ac.at/iiif/presentation/v3/manifest/10048A37.json
api_onb_ac_at_iiif_presentation_v3_manifest_DTL_7039594_json,f7caa07,migration-sources/dezoomify-web/tests/fixtures/remote/api.onb.ac.at/iiif/presentation/v3/manifest/DTL_7039594.json,json,api.onb.ac.at/iiif/presentation/v3/manifest/DTL_7039594.json,e92afc528b27b3db5994e41a1b7d7f8d07c7ee1215bde6a4d43fae47618abb50,GPL project test data (web GPL-2.0-or-later; rs GPL-3.0-only),false,phase-02 audit,curate-in-phase-03,testdata/scenarios/<owning-scenario>/payloads/api.onb.ac.at/iiif/presentation/v3/manifest/DTL_7039594.json
artsandculture_google_com_arts_path=g_xml,f7caa07,migration-sources/dezoomify-web/tests/fixtures/remote/artsandculture.google.com/arts/path=g.xml,xml,artsandculture.google.com/arts/path=g.xml,7e60f681fcf1772b1c96f7de0fc4bb105e0dfb9ead483a014836554a9d1d80e7,GPL project test data (web GPL-2.0-or-later; rs GPL-3.0-only),review:test-double-token,phase-02 audit,curate-in-phase-03,testdata/scenarios/<owning-scenario>/payloads/artsandculture.google.com/arts/path=g.xml
artsandculture_google_com_arts_plain=g_xml,f7caa07,migration-sources/dezoomify-web/tests/fixtures/remote/artsandculture.google.com/arts/plain=g.xml,xml,artsandculture.google.com/arts/plain=g.xml,7e60f681fcf1772b1c96f7de0fc4bb105e0dfb9ead483a014836554a9d1d80e7,GPL project test data (web GPL-2.0-or-later; rs GPL-3.0-only),review:test-double-token,phase-02 audit,curate-in-phase-03,testdata/scenarios/<owning-scenario>/payloads/artsandculture.google.com/arts/plain=g.xml
